Year,Job Family,Total Salary
2014,Fire Services,133802.81
2013,Fire Services,133744.22
2016,Fire Services,144864.05
2015,Fire Services,196699.65
2014,Fire Services,160307.2
2013,Fire Services,142405.81
2013,Fire Services,160515.3
2016,Fire Services,169230.39
2015,Fire Services,194792.17
2014,Fire Services,183954.1
2013,Fire Services,211096.53
2016,Fire Services,154817.96
2015,Fire Services,158666.85
2014,Fire Services,163413.48
2013,Fire Services,167147.24
2016,Fire Services,108954.13
2015,Fire Services,141680.2
2014,Fire Services,133397.02
2013,Fire Services,132927.6
2016,Fire Services,27777.8
2015,Fire Services,2369.81
2016,Fire Services,154778.2
2015,Fire Services,167442.11
2014,Fire Services,165568.59
2013,Fire Services,182020.94
2016,Fire Services,4320.0
2016,Fire Services,164171.33
2015,Fire Services,141171.6
2014,Fire Services,122250.58
2013,Fire Services,130331.84
2016,Fire Services,176336.72
2015,Fire Services,158336.25
2014,Fire Services,150014.62
2013,Fire Services,181582.51
2016,Fire Services,196132.83
2015,Fire Services,119743.44
2015,Fire Services,102164.54
2014,Fire Services,185765.18
2016,Fire Services,12730.72
2013,Fire Services,212148.84
2016,Fire Services,6728.47
2014,Fire Services,134237.97
2013,Fire Services,184969.42
2016,Fire Services,283312.18
2016,Fire Services,139566.38
2015,Fire Services,133616.85
2014,Fire Services,131942.72
2013,Fire Services,145469.7
2015,Fire Services,294739.25
2014,Fire Services,276317.84
2013,Fire Services,276335.83
2016,Fire Services,121749.57
2015,Fire Services,135941.7
2014,Fire Services,173522.57
2013,Fire Services,174728.75
2015,Fire Services,47511.99
2016,Fire Services,143731.08
2015,Fire Services,137433.55
2014,Fire Services,4887.82
2013,Fire Services,35699.03
2016,Fire Services,174577.52
2015,Fire Services,199778.77
2014,Fire Services,189522.51
2013,Fire Services,175997.69
2016,Fire Services,89113.33
2015,Fire Services,89193.99
2014,Fire Services,23757.5
2014,Fire Services,160228.48
2013,Fire Services,160756.18
2016,Fire Services,147270.06
2015,Fire Services,144278.87
2014,Fire Services,146226.47
2013,Fire Services,148611.93
2016,Fire Services,88979.96
2015,Fire Services,84815.85
2014,Fire Services,23757.5
2013,Fire Services,151118.51
